evaluation_id,model_version,eval_prompt_category,human_rating,synthetic_metric,cost_of_evaluation,evaluation_date,deployment_week
EVAL_005415,v1.0,General QA,5,89.28,19.53,2024-06-09,1
EVAL_005416,v1.0,Coding,3,67.02,21.11,2024-06-09,1
EVAL_005417,v1.0,General QA,3,81.07,28.69,2024-01-29,1
EVAL_005418,v1.0,Creative Writing,3,58.6,21.56,2024-03-26,1
EVAL_005419,v1.0,Scientific,2,58.47,26.21,2024-04-19,1
EVAL_005420,v1.0,Scientific,3,62.78,19.86,2024-06-16,1
EVAL_005421,v1.0,Math/Logic,4,93.7,20.5,2024-03-14,1
EVAL_005422,v1.0,Creative Writing,4,70.9,19.14,2024-02-29,1
EVAL_005423,v1.0,General QA,4,99.64,27.89,2024-02-29,1
EVAL_005424,v1.0,Creative Writing,2,73.1,17.57,2024-05-21,1
EVAL_005425,v1.0,Creative Writing,4,67.17,18.74,2024-04-26,1
EVAL_005426,v1.0,Creative Writing,5,71.55,30.98,2024-01-14,1
EVAL_005427,v1.0,Coding,3,68.9,16.05,2024-06-14,1
EVAL_005428,v1.0,General QA,5,85.9,32.15,2024-04-09,1
EVAL_005429,v1.0,Creative Writing,4,79.97,27.32,2024-05-13,1
EVAL_005430,v1.0,Scientific,3,75.09,14.97,2024-06-22,1
EVAL_005431,v1.0,Math/Logic,5,95.51,28.61,2024-03-03,1
EVAL_005432,v1.0,Creative Writing,4,66.49,28.51,2024-04-26,1
EVAL_005433,v1.0,Creative Writing,3,77.1,15.54,2024-01-28,1
EVAL_005434,v1.0,Coding,2,62.38,17.28,2024-04-11,1
EVAL_005435,v1.0,Coding,3,69.49,24.54,2024-02-20,1
EVAL_005436,v1.0,General QA,2,64.04,16.05,2024-03-03,1
EVAL_005437,v1.0,Scientific,5,84.49,22.58,2024-02-12,1
EVAL_005438,v1.0,Coding,4,83.58,30.82,2024-06-17,1
EVAL_005439,v1.0,Creative Writing,4,80.34,16.08,2024-03-07,1
EVAL_005440,v1.0,Coding,4,83.27,24.99,2024-03-08,1
EVAL_005441,v1.0,Creative Writing,3,75.93,23.81,2024-04-19,1
EVAL_005442,v1.0,Creative Writing,4,76.13,19.69,2024-04-23,1
EVAL_005443,v1.0,Scientific,4,81.66,28.3,2024-05-12,1
EVAL_005444,v1.0,Creative Writing,3,74.22,20.88,2024-02-01,1
EVAL_005445,v1.0,General QA,4,70.06,25.56,2024-03-07,1
EVAL_005446,v1.0,Scientific,5,88.45,31.08,2024-01-13,1
EVAL_005447,v1.0,Scientific,4,88.66,25.08,2024-05-15,1
EVAL_005448,v1.0,Scientific,5,87.76,28.51,2024-03-02,1
EVAL_005449,v1.0,Scientific,4,64.95,30.01,2024-02-03,1
EVAL_005450,v1.0,Creative Writing,5,91.44,18.28,2024-01-08,1
EVAL_005451,v1.0,Scientific,5,88.44,30.85,2024-06-08,1
EVAL_005452,v1.0,Creative Writing,4,85.44,23.91,2024-01-23,1
EVAL_005453,v1.0,Math/Logic,3,79.92,27.84,2024-02-15,1
EVAL_005454,v1.0,General QA,4,77.72,29.24,2024-06-06,1
EVAL_005455,v1.0,Creative Writing,5,89.26,25.89,2024-03-27,1
EVAL_005456,v1.0,Scientific,5,72.58,24.48,2024-06-09,1
EVAL_005457,v1.0,General QA,4,87.32,21.48,2024-06-21,1
EVAL_005458,v1.0,Coding,3,82.23,23.73,2024-03-26,1
EVAL_005459,v1.0,Coding,4,79.6,25.41,2024-03-13,1
EVAL_005460,v1.0,Scientific,3,88.85,23.22,2024-05-25,1
EVAL_005461,v1.0,General QA,5,73.66,23.22,2024-04-09,1
EVAL_005462,v1.0,Creative Writing,4,64.51,27.43,2024-06-17,1
EVAL_005463,v1.0,General QA,4,78.48,26.35,2024-02-16,1
EVAL_005464,v1.0,Creative Writing,4,84.6,19.28,2024-03-12,1
EVAL_005465,v1.0,Math/Logic,3,75.95,16.63,2024-03-20,1
EVAL_005466,v1.0,Creative Writing,3,68.12,26.57,2024-06-13,1
EVAL_005467,v1.0,Creative Writing,4,75.52,26.04,2024-05-27,1
EVAL_005468,v1.0,Coding,5,92.24,31.14,2024-02-04,1
EVAL_005469,v1.0,General QA,4,68.21,21.8,2024-06-11,1
EVAL_005470,v1.0,General QA,5,79.93,32.12,2024-04-22,1
EVAL_005471,v1.0,Math/Logic,5,82.32,28.36,2024-04-22,1
EVAL_005472,v1.0,General QA,2,65.82,26.62,2024-05-07,1
EVAL_005473,v1.0,Creative Writing,5,92.87,29.49,2024-02-22,1
EVAL_005474,v1.0,General QA,5,89.92,28.09,2024-03-27,1
EVAL_005475,v1.0,Math/Logic,4,69.08,17.73,2024-03-26,1
EVAL_005476,v1.0,Creative Writing,4,85.67,17.77,2024-02-05,1
EVAL_005477,v1.0,Creative Writing,3,67.64,27.98,2024-03-16,1
EVAL_005478,v1.0,General QA,4,74.92,28.22,2024-04-20,1
EVAL_005479,v1.0,General QA,5,78.62,18.11,2024-04-24,1
EVAL_005480,v1.0,General QA,5,83.59,28.98,2024-04-17,1
EVAL_005481,v1.0,Creative Writing,4,80.88,24.96,2024-01-17,1
EVAL_005482,v1.0,Creative Writing,3,73.16,20.57,2024-02-18,1
EVAL_005483,v1.0,Coding,4,70.69,20.89,2024-01-18,1
EVAL_005484,v1.0,Scientific,5,77.97,23.67,2024-06-06,1
EVAL_005485,v1.0,Scientific,4,83.9,16.49,2024-05-25,1
EVAL_005486,v1.0,Scientific,5,97.18,18.18,2024-01-08,1
EVAL_005487,v1.0,Coding,3,69.75,22.14,2024-05-10,1
EVAL_005488,v1.0,General QA,4,75.43,17.94,2024-05-01,1
EVAL_005489,v1.0,Creative Writing,4,79.67,30.06,2024-03-02,1
EVAL_005490,v1.0,General QA,5,89.11,28.37,2024-03-05,1
EVAL_005491,v1.0,Coding,5,76.34,24.09,2024-05-22,1
EVAL_005492,v1.0,Scientific,4,75.22,28.96,2024-06-06,1
EVAL_005493,v1.0,Scientific,3,62.38,28.39,2024-04-05,1
EVAL_005494,v1.0,Math/Logic,4,72.15,26.07,2024-02-27,1
EVAL_005495,v1.0,General QA,4,65.54,21.24,2024-05-26,1
EVAL_005496,v1.0,Creative Writing,3,82.86,27.69,2024-06-01,1
EVAL_005497,v1.0,Creative Writing,4,76.4,28.0,2024-06-19,1
EVAL_005498,v1.0,Creative Writing,3,67.12,19.62,2024-05-16,1
EVAL_005499,v1.0,Creative Writing,3,62.63,19.04,2024-01-10,1
EVAL_005500,v1.0,Scientific,5,87.29,23.98,2024-01-05,1
EVAL_005501,v1.0,Scientific,3,61.69,27.22,2024-05-08,1
EVAL_005502,v1.0,Coding,4,76.26,27.32,2024-05-11,1
EVAL_005503,v1.0,Math/Logic,4,81.4,26.76,2024-01-10,1
EVAL_005504,v1.0,Scientific,5,71.95,18.77,2024-05-03,1
EVAL_005505,v1.0,Scientific,5,82.68,32.3,2024-05-24,1
EVAL_005506,v1.0,Math/Logic,5,62.19,29.44,2024-06-23,1
EVAL_005507,v1.0,Creative Writing,4,64.46,24.76,2024-05-07,1
EVAL_005508,v1.0,Creative Writing,4,87.72,16.13,2024-03-09,1
EVAL_005509,v1.0,General QA,4,79.31,23.69,2024-01-14,1
EVAL_005510,v1.0,Creative Writing,5,87.69,27.91,2024-03-09,1
EVAL_005511,v1.0,Scientific,3,65.42,26.03,2024-01-11,1
EVAL_005512,v1.0,Creative Writing,5,82.47,27.01,2024-05-24,1
EVAL_005513,v1.0,Scientific,2,73.84,26.01,2024-01-11,1
EVAL_005514,v1.0,Creative Writing,4,65.95,20.9,2024-03-22,1
EVAL_005515,v1.0,Math/Logic,4,75.68,20.94,2024-04-30,1
EVAL_005516,v1.0,General QA,3,75.45,22.82,2024-04-26,1
EVAL_005517,v1.0,Coding,4,71.42,19.94,2024-02-12,1
EVAL_005518,v1.0,Creative Writing,5,71.24,31.05,2024-02-14,1
EVAL_005519,v1.0,General QA,5,91.08,26.01,2024-06-23,1
EVAL_005520,v1.0,Creative Writing,4,79.87,30.52,2024-01-26,1
EVAL_005521,v1.0,General QA,3,74.58,16.95,2024-04-03,1
EVAL_005522,v1.0,Scientific,4,93.29,21.23,2024-04-11,1
EVAL_005523,v1.0,Coding,5,85.65,28.85,2024-02-01,1
EVAL_005524,v1.0,Creative Writing,4,92.0,20.94,2024-05-08,1
EVAL_005525,v1.0,Creative Writing,5,66.29,19.18,2024-06-15,1
EVAL_005526,v1.0,General QA,4,91.44,16.74,2024-05-18,1
EVAL_005527,v1.0,Coding,4,77.7,18.12,2024-01-06,1
EVAL_005528,v1.0,Creative Writing,4,74.91,28.44,2024-02-14,1
EVAL_005529,v1.0,Creative Writing,4,75.99,27.18,2024-06-09,1
EVAL_005530,v1.0,Math/Logic,3,60.56,25.93,2024-05-03,1
EVAL_005531,v1.0,Creative Writing,4,82.19,27.94,2024-01-13,1
EVAL_005532,v1.0,Creative Writing,4,79.4,27.5,2024-02-25,1
EVAL_005533,v1.0,Scientific,4,89.72,28.57,2024-05-13,1
EVAL_005534,v1.0,General QA,4,62.92,29.2,2024-02-01,1
EVAL_005535,v1.0,Creative Writing,4,88.7,28.98,2024-03-04,1
EVAL_005536,v1.0,Creative Writing,4,92.08,21.3,2024-03-15,1
EVAL_005537,v1.0,Scientific,4,88.42,16.22,2024-01-27,1
EVAL_005538,v1.0,Coding,3,60.67,28.24,2024-06-07,1
EVAL_005539,v1.0,Coding,3,63.42,21.36,2024-03-05,1
EVAL_005540,v1.0,General QA,3,67.3,25.56,2024-06-06,1
EVAL_005541,v1.0,Scientific,5,82.21,24.14,2024-03-19,1
EVAL_005542,v1.0,General QA,4,97.52,30.54,2024-01-16,1
EVAL_005543,v1.0,Coding,4,76.22,29.39,2024-01-25,1
EVAL_005544,v1.0,General QA,4,73.56,17.58,2024-03-21,1
EVAL_005545,v1.0,Scientific,5,87.34,26.51,2024-06-27,1
EVAL_005546,v1.0,Creative Writing,4,86.22,20.23,2024-02-24,1
EVAL_005547,v1.0,Scientific,3,58.75,20.03,2024-04-19,1
EVAL_005548,v1.0,Coding,3,66.94,21.87,2024-02-18,1
EVAL_005549,v1.0,Coding,3,81.43,25.47,2024-04-27,1
EVAL_005550,v1.0,General QA,4,75.2,20.91,2024-04-01,1
EVAL_005551,v1.0,Scientific,4,74.95,25.57,2024-05-01,1
EVAL_005552,v1.0,Coding,5,79.16,18.76,2024-06-22,1
EVAL_005553,v1.0,Scientific,4,87.07,26.22,2024-06-20,1
EVAL_005554,v1.0,General QA,4,70.09,27.07,2024-04-24,1
EVAL_005555,v1.0,Scientific,4,73.69,19.55,2024-01-01,1
EVAL_005556,v1.0,General QA,3,76.34,14.46,2024-04-12,1
EVAL_005557,v1.0,Creative Writing,4,91.06,17.28,2024-06-10,1
EVAL_005558,v1.0,Coding,3,64.79,23.29,2024-01-28,1
EVAL_005559,v1.0,Math/Logic,5,69.42,24.68,2024-04-08,1
EVAL_005560,v1.0,Math/Logic,4,72.1,23.99,2024-05-03,1
EVAL_005561,v1.0,Scientific,3,74.89,18.14,2024-02-04,1
EVAL_005562,v1.0,Scientific,5,78.17,18.61,2024-03-25,1
EVAL_005563,v1.0,Math/Logic,4,70.49,21.1,2024-01-26,1
EVAL_005564,v1.0,Creative Writing,4,82.36,18.88,2024-04-11,1
EVAL_005565,v1.0,Creative Writing,5,85.31,21.59,2024-05-21,1
EVAL_005566,v1.0,Creative Writing,5,66.01,28.37,2024-05-03,1
EVAL_005567,v1.0,Scientific,3,68.01,22.13,2024-06-04,1
EVAL_005568,v1.0,General QA,5,71.05,20.73,2024-04-09,1
EVAL_005569,v1.0,Math/Logic,4,85.64,29.99,2024-06-24,1
EVAL_005570,v1.0,General QA,3,82.95,22.32,2024-05-26,1
EVAL_005571,v1.0,Scientific,3,61.49,15.86,2024-03-19,1
EVAL_005572,v1.0,Math/Logic,5,86.49,19.59,2024-04-20,1
EVAL_005573,v1.0,General QA,4,88.16,20.66,2024-03-01,1
EVAL_005574,v1.0,Coding,5,77.75,19.39,2024-02-19,1
EVAL_005575,v1.0,Scientific,4,76.42,18.43,2024-05-16,1
EVAL_005576,v1.0,General QA,5,90.06,20.77,2024-06-12,1
EVAL_005577,v1.0,Math/Logic,5,79.41,21.4,2024-05-20,1
EVAL_005578,v1.0,Coding,3,88.15,17.52,2024-05-02,1
EVAL_005579,v1.0,General QA,4,89.13,24.07,2024-03-13,1
EVAL_005580,v1.0,General QA,3,63.62,27.44,2024-02-05,1
EVAL_005581,v1.0,Coding,4,75.8,30.23,2024-04-12,1
EVAL_005582,v1.0,Scientific,5,89.76,24.97,2024-06-10,1
EVAL_005583,v1.0,General QA,4,85.41,30.94,2024-04-03,1
EVAL_005584,v1.0,Scientific,3,72.92,19.29,2024-06-12,1
EVAL_005585,v1.0,Math/Logic,4,80.01,21.13,2024-04-24,1
EVAL_005586,v1.0,General QA,3,80.27,18.0,2024-01-05,1
EVAL_005587,v1.0,Creative Writing,4,79.84,30.85,2024-03-15,1
EVAL_005588,v1.0,Math/Logic,4,73.22,24.59,2024-05-17,1
EVAL_005589,v1.0,Creative Writing,4,87.91,23.4,2024-03-05,1
EVAL_005590,v1.0,Scientific,2,74.02,14.94,2024-03-30,1
EVAL_005591,v1.0,General QA,4,48.86,20.4,2024-02-14,1
EVAL_005592,v1.0,Creative Writing,3,83.63,26.32,2024-01-27,1
EVAL_005593,v1.0,Coding,4,72.66,19.1,2024-01-09,1
EVAL_005594,v1.0,General QA,5,89.15,26.33,2024-04-19,1
EVAL_005595,v1.0,Math/Logic,4,73.95,25.51,2024-05-30,1
EVAL_005596,v1.0,Coding,2,63.8,23.29,2024-04-18,1
EVAL_005597,v1.0,Math/Logic,4,68.4,19.9,2024-05-29,1
EVAL_005598,v1.0,Creative Writing,3,63.36,15.41,2024-03-06,1
EVAL_005599,v1.0,General QA,5,88.5,21.08,2024-01-31,1
EVAL_005600,v1.0,Scientific,3,72.88,14.01,2024-03-11,1
EVAL_005601,v1.0,Creative Writing,2,75.55,25.95,2024-01-21,1
EVAL_005602,v1.0,Scientific,3,72.66,25.44,2024-05-13,1
EVAL_005603,v1.0,General QA,4,84.76,24.9,2024-01-12,1
EVAL_005604,v1.0,General QA,5,69.67,20.4,2024-05-06,1
EVAL_005605,v1.0,General QA,5,79.22,29.74,2024-05-30,1
EVAL_005606,v1.0,Creative Writing,5,79.14,29.13,2024-06-27,1
EVAL_005607,v1.0,General QA,3,66.71,25.61,2024-02-12,1
EVAL_005608,v1.0,Math/Logic,5,73.21,28.68,2024-05-15,1
EVAL_005609,v1.0,Math/Logic,4,88.14,29.63,2024-05-02,1
EVAL_005610,v1.0,Coding,4,85.87,28.46,2024-05-27,1
EVAL_005611,v1.0,Coding,4,71.98,23.37,2024-05-06,1
EVAL_005612,v1.0,Creative Writing,5,84.25,25.77,2024-02-15,1
EVAL_005613,v1.0,Scientific,3,86.34,24.0,2024-02-10,1
EVAL_005614,v1.0,Coding,5,86.93,24.35,2024-03-10,1
EVAL_005615,v1.0,Scientific,4,69.47,22.37,2024-04-04,1
EVAL_005616,v1.0,Math/Logic,4,62.79,21.8,2024-03-20,1
EVAL_005617,v1.0,Creative Writing,4,79.46,18.46,2024-05-08,1
EVAL_005618,v1.0,Creative Writing,4,80.72,21.65,2024-03-10,1
EVAL_005619,v1.0,Scientific,3,65.92,16.61,2024-03-07,1
EVAL_005620,v1.0,Scientific,5,74.97,29.83,2024-01-21,1
EVAL_005621,v1.0,General QA,4,81.37,21.44,2024-01-04,1
EVAL_005622,v1.0,General QA,3,61.11,14.67,2024-01-16,1
EVAL_005623,v1.0,Scientific,4,81.72,18.14,2024-05-06,1
EVAL_005624,v1.0,General QA,5,80.19,29.77,2024-04-07,1
EVAL_005625,v1.0,Math/Logic,4,81.01,21.06,2024-04-14,1
EVAL_005626,v1.0,Creative Writing,3,73.57,15.4,2024-02-15,1
EVAL_005627,v1.0,Math/Logic,4,81.75,18.97,2024-05-23,1
EVAL_005628,v1.0,Math/Logic,4,80.83,24.23,2024-06-28,1
EVAL_005629,v1.0,Scientific,4,83.35,16.04,2024-05-07,1
EVAL_005630,v1.0,Math/Logic,4,82.14,20.25,2024-02-16,1
EVAL_005631,v1.0,General QA,4,70.54,21.75,2024-03-27,1
EVAL_005632,v1.0,Math/Logic,5,84.97,25.28,2024-05-21,1
EVAL_005633,v1.0,Coding,3,81.59,14.28,2024-06-20,1
EVAL_005634,v1.0,Creative Writing,3,69.77,25.88,2024-06-16,1
EVAL_005635,v1.0,Coding,4,85.87,29.81,2024-06-09,1
EVAL_005636,v1.0,General QA,4,75.0,29.97,2024-06-18,1
EVAL_005637,v1.0,General QA,4,87.79,21.07,2024-02-02,1
EVAL_005638,v1.0,General QA,4,82.22,22.33,2024-05-26,1
EVAL_005639,v1.0,Creative Writing,4,85.31,24.16,2024-04-07,1
EVAL_005640,v1.0,Scientific,5,95.82,19.55,2024-05-17,1
EVAL_005641,v1.0,Creative Writing,4,80.57,17.23,2024-05-26,1
EVAL_005642,v1.0,Math/Logic,3,70.66,27.83,2024-03-15,1
EVAL_005643,v1.0,Creative Writing,5,90.59,20.8,2024-05-01,1
EVAL_005644,v1.0,Creative Writing,4,80.89,17.3,2024-05-27,1
EVAL_005645,v1.0,Coding,4,78.25,19.09,2024-02-25,1
EVAL_005646,v1.0,Coding,5,77.79,24.26,2024-01-08,1
EVAL_005647,v1.0,Creative Writing,3,59.32,23.47,2024-04-15,1
EVAL_005648,v1.0,Coding,5,85.02,23.25,2024-02-28,1
EVAL_005649,v1.0,Creative Writing,3,63.1,23.36,2024-01-01,1
EVAL_005650,v1.0,General QA,3,66.55,23.97,2024-04-19,1
EVAL_005651,v1.0,General QA,4,81.17,23.36,2024-02-09,1
EVAL_005652,v1.0,Creative Writing,4,74.88,29.84,2024-02-18,1
EVAL_005653,v1.0,General QA,4,78.31,19.79,2024-02-19,1
EVAL_005654,v1.0,Creative Writing,4,71.76,18.44,2024-03-21,1
EVAL_005655,v1.0,Coding,5,68.36,21.42,2024-05-15,1
EVAL_005656,v1.0,Math/Logic,4,76.3,27.3,2024-05-16,1
EVAL_005657,v1.0,General QA,4,80.76,30.95,2024-03-06,1
EVAL_005658,v1.0,General QA,3,82.35,27.24,2024-04-27,1
EVAL_005659,v1.0,Math/Logic,4,73.85,17.77,2024-05-06,1
EVAL_005660,v1.0,Coding,3,67.5,17.56,2024-04-14,1
EVAL_005661,v1.0,Scientific,3,62.43,22.83,2024-05-21,1
EVAL_005662,v1.0,Math/Logic,3,67.71,19.72,2024-03-18,1
EVAL_005663,v1.0,Scientific,4,65.82,21.16,2024-01-10,1
EVAL_005664,v1.0,Creative Writing,4,82.08,19.26,2024-01-31,1
EVAL_005665,v1.0,Coding,4,89.1,16.32,2024-04-12,1
EVAL_005666,v1.0,Math/Logic,4,71.36,17.97,2024-04-22,1
EVAL_005667,v1.0,Scientific,2,59.57,12.13,2024-01-13,1
EVAL_005668,v1.0,Scientific,5,83.62,30.97,2024-06-19,1
EVAL_005669,v1.0,Math/Logic,4,67.83,19.9,2024-01-28,1
EVAL_005670,v1.0,General QA,3,61.4,17.52,2024-02-22,1
EVAL_005671,v1.0,Coding,4,86.47,18.15,2024-02-22,1
EVAL_005672,v1.0,Coding,5,83.08,28.74,2024-04-19,1
EVAL_005673,v1.0,Math/Logic,4,72.94,19.9,2024-04-02,1
EVAL_005674,v1.0,Creative Writing,3,67.15,19.49,2024-02-28,1
EVAL_005675,v1.0,General QA,4,87.82,22.79,2024-03-19,1
EVAL_005676,v1.0,Creative Writing,3,64.95,21.86,2024-02-27,1
EVAL_005677,v1.0,Scientific,4,84.6,23.76,2024-02-08,1
EVAL_005678,v1.0,General QA,3,68.65,21.86,2024-03-31,1
EVAL_005679,v1.0,Coding,3,58.68,23.63,2024-06-12,1
EVAL_005680,v1.0,General QA,4,90.81,21.15,2024-04-01,1
EVAL_005681,v1.0,Math/Logic,5,75.93,31.5,2024-05-05,1
EVAL_005682,v1.0,Scientific,5,84.79,24.25,2024-01-08,1
EVAL_005683,v1.0,Coding,3,64.93,15.51,2024-02-03,1
EVAL_005684,v1.0,Math/Logic,4,66.32,23.82,2024-05-19,1
EVAL_005685,v1.0,Creative Writing,5,72.57,21.91,2024-05-28,1
EVAL_005686,v1.0,Coding,3,83.67,22.97,2024-05-01,1
EVAL_005687,v1.0,Coding,3,82.72,15.77,2024-03-17,1
EVAL_005688,v1.0,Math/Logic,3,74.89,17.38,2024-01-09,1
EVAL_005689,v1.0,Coding,4,76.38,26.04,2024-06-09,1
EVAL_005690,v1.0,Creative Writing,4,81.58,19.27,2024-04-10,1
EVAL_005691,v1.0,Scientific,3,74.16,26.68,2024-02-25,1
EVAL_005692,v1.0,General QA,4,72.15,30.55,2024-01-07,1
EVAL_005693,v1.0,Math/Logic,3,60.91,20.01,2024-04-28,1
EVAL_005694,v1.0,Creative Writing,4,77.8,18.31,2024-04-21,1
EVAL_005695,v1.0,General QA,3,64.72,18.84,2024-05-11,1
EVAL_005696,v1.0,Math/Logic,5,74.38,29.53,2024-05-06,1
EVAL_005697,v1.0,Math/Logic,4,72.17,27.06,2024-03-24,1
EVAL_005698,v1.0,Math/Logic,3,70.98,26.87,2024-03-26,1
EVAL_005699,v1.0,Math/Logic,4,81.72,24.35,2024-01-12,1
EVAL_005700,v1.0,General QA,2,71.47,24.78,2024-03-24,1
EVAL_005701,v1.0,General QA,4,66.19,17.68,2024-04-14,1
EVAL_005702,v1.0,Creative Writing,5,89.5,30.89,2024-04-29,1
EVAL_005703,v1.0,Math/Logic,4,68.07,25.39,2024-04-29,1
EVAL_005704,v1.0,Creative Writing,4,86.38,20.33,2024-02-01,1
EVAL_005705,v1.0,Creative Writing,3,81.27,23.82,2024-02-03,1
EVAL_005706,v1.0,General QA,3,74.61,17.33,2024-01-24,1
EVAL_005707,v1.0,Math/Logic,3,81.83,19.12,2024-02-21,1
EVAL_005708,v1.0,Creative Writing,4,80.18,16.93,2024-04-05,1
EVAL_005709,v1.0,Creative Writing,3,65.85,19.45,2024-06-20,1
EVAL_005710,v1.0,Creative Writing,5,81.12,31.85,2024-03-17,1
EVAL_005711,v1.0,General QA,4,92.17,19.23,2024-02-20,1
EVAL_005712,v1.0,General QA,5,80.66,32.41,2024-01-02,1
EVAL_005713,v1.0,Scientific,3,76.82,16.71,2024-06-21,1
EVAL_005714,v1.0,Coding,5,80.71,27.52,2024-04-08,1
EVAL_005715,v1.0,Coding,4,83.93,20.39,2024-06-04,1
EVAL_005716,v1.0,Math/Logic,5,88.3,23.7,2024-05-09,1
EVAL_005717,v1.0,General QA,5,86.39,32.84,2024-06-12,1
EVAL_005718,v1.0,Math/Logic,4,81.43,20.94,2024-03-20,1
EVAL_005719,v1.0,Coding,5,86.38,27.7,2024-01-06,1
EVAL_005720,v1.0,Math/Logic,3,82.06,18.24,2024-03-30,1
EVAL_005721,v1.0,Creative Writing,3,65.36,26.64,2024-03-26,1
EVAL_005722,v1.0,Math/Logic,4,83.89,19.61,2024-05-31,1
EVAL_005723,v1.0,Creative Writing,5,81.34,19.73,2024-04-04,1
EVAL_005724,v1.0,General QA,3,71.23,16.98,2024-05-17,1
EVAL_005725,v1.0,Creative Writing,4,81.84,18.54,2024-05-19,1
EVAL_005726,v1.0,Math/Logic,4,76.88,21.1,2024-01-29,1
EVAL_005727,v1.0,General QA,3,74.03,23.33,2024-04-12,1
EVAL_005728,v1.0,General QA,3,84.85,24.31,2024-04-07,1
EVAL_005729,v1.0,Coding,4,75.68,22.49,2024-01-12,1
EVAL_005730,v1.0,Creative Writing,5,81.64,27.77,2024-05-20,1
EVAL_005731,v1.0,Creative Writing,4,78.13,28.62,2024-03-21,1
EVAL_005732,v1.0,Math/Logic,2,62.46,26.46,2024-05-17,1
EVAL_005733,v1.0,Scientific,3,71.69,25.83,2024-02-22,1
EVAL_005734,v1.0,Coding,3,74.3,27.15,2024-03-19,1
EVAL_005735,v1.0,Scientific,2,64.63,16.53,2024-05-14,1
EVAL_005736,v1.0,Math/Logic,5,90.2,21.21,2024-05-24,1
EVAL_005737,v1.0,Scientific,4,79.02,19.32,2024-05-05,1
EVAL_005738,v1.0,General QA,4,80.9,29.7,2024-04-20,1
EVAL_005739,v1.0,General QA,2,68.67,24.75,2024-01-12,1
EVAL_005740,v1.0,General QA,3,89.38,25.39,2024-06-13,1
EVAL_005741,v1.0,Coding,4,89.25,30.16,2024-02-17,1
EVAL_005742,v1.0,Scientific,5,89.71,32.01,2024-05-11,1
EVAL_005743,v1.0,Math/Logic,4,70.45,30.46,2024-06-28,1
EVAL_005744,v1.0,General QA,4,77.8,16.93,2024-04-02,1
EVAL_005745,v1.0,Coding,3,67.79,22.9,2024-01-04,1
EVAL_005746,v1.0,General QA,3,74.77,20.63,2024-02-21,1
EVAL_005747,v1.0,Coding,4,81.12,17.36,2024-06-17,1
EVAL_005748,v1.0,Creative Writing,3,91.2,27.7,2024-02-16,1
EVAL_005749,v1.0,Scientific,4,63.27,19.6,2024-02-01,1
EVAL_005750,v1.0,Creative Writing,4,88.01,21.46,2024-03-11,1
EVAL_005751,v1.0,Math/Logic,5,81.24,31.59,2024-01-30,1
EVAL_005752,v1.0,General QA,5,78.02,19.01,2024-03-07,1
EVAL_005753,v1.0,Math/Logic,4,77.19,20.12,2024-03-14,1
EVAL_005754,v1.0,Creative Writing,5,81.5,21.2,2024-05-07,1
EVAL_005755,v1.0,Scientific,4,74.57,27.43,2024-05-10,1
EVAL_005756,v1.0,Math/Logic,4,70.13,19.3,2024-04-06,1
EVAL_005757,v1.0,General QA,5,96.21,19.8,2024-06-02,1
EVAL_005758,v1.0,General QA,5,60.98,28.33,2024-04-20,1
EVAL_005759,v1.0,Scientific,4,75.55,22.99,2024-04-09,1
EVAL_005760,v1.0,Math/Logic,4,75.92,28.89,2024-01-19,1
EVAL_005761,v1.0,Math/Logic,4,83.58,21.66,2024-02-12,1
EVAL_005762,v1.0,Coding,5,81.57,25.34,2024-04-12,1
EVAL_005763,v1.0,Scientific,5,81.77,25.49,2024-02-26,1
EVAL_005764,v1.0,General QA,4,81.75,25.64,2024-01-20,1
EVAL_005765,v1.0,Coding,4,78.37,28.72,2024-06-06,1
EVAL_005766,v1.0,Scientific,4,68.67,24.12,2024-05-23,1
EVAL_005767,v1.0,General QA,4,83.67,28.89,2024-04-02,1
EVAL_005768,v1.0,Creative Writing,3,76.61,19.42,2024-06-01,1
EVAL_005769,v1.0,Math/Logic,4,92.52,30.16,2024-06-15,1
EVAL_005770,v1.0,Coding,4,64.79,17.43,2024-02-04,1
EVAL_005771,v1.0,Scientific,3,77.68,16.57,2024-05-29,1
EVAL_005772,v1.0,General QA,4,82.5,22.69,2024-04-05,1
EVAL_005773,v1.0,Creative Writing,4,74.17,24.83,2024-04-16,1
EVAL_005774,v1.0,Math/Logic,3,72.73,27.49,2024-01-02,1
EVAL_005775,v1.0,Scientific,5,72.32,25.28,2024-03-05,1
EVAL_005776,v1.0,Math/Logic,4,76.58,16.02,2024-02-28,1
EVAL_005777,v1.0,General QA,4,78.38,22.96,2024-01-24,1
EVAL_005778,v1.0,Scientific,4,90.88,22.46,2024-06-18,1
EVAL_005779,v1.0,Math/Logic,3,85.91,26.55,2024-05-26,1
EVAL_005780,v1.0,Creative Writing,5,78.64,19.88,2024-04-03,1
EVAL_005781,v1.0,Creative Writing,4,77.71,25.46,2024-05-19,1
EVAL_005782,v1.0,Math/Logic,5,82.96,28.98,2024-06-21,1
EVAL_005783,v1.0,Scientific,3,67.53,23.4,2024-06-27,1
EVAL_005784,v1.0,General QA,5,73.08,27.28,2024-06-14,1
EVAL_005785,v1.0,General QA,3,63.41,17.75,2024-01-16,1
EVAL_005786,v1.0,Math/Logic,3,76.18,16.05,2024-05-31,1
